,username,description,location,text,hashtags
0,EmilioPedral,"Global Marketing Vice President (NYSE: ESI) Chemicals. Mexican-American, interested in economy, global trading, travelling, arts, golf, and surf. 🇲🇽🇺🇸","Dana Point,  California","After having lost over 2.3 Million #automotive production units in 2022, mostly due to #semiconductor shortages, the industry is estimating this year the shortage to be 1.6 Million, it will be all about #supplychain. The prices for new vehicles are at a record high. https://t.co/qZiGWl4ktn","['automotive', 'semiconductor', 'supplychain']"
1,SAPIMC,Connect on the latest industrial manufacturers insights. Tweets by SAP Industry Experts unless otherwise noted.  SAP privacy statement: https://t.co/pVvThnZY94,United States,"As the manufacturing industry faces the challenge of a prolonged semiconductor chip shortage, learn about the steps companies can take to improve #supplychain resiliency and continue meeting customer expectations https://t.co/jEfia0jJRZ https://t.co/hemduSlu3y",['supplychain']
2,SimoneKnaap,Account Director for IoT World Today at Informa.,Greater New York Area,"Embedded IoT World 2022: Edward Wilford, Omdia. #technology #IoT @OmdiaHQ @IoTWorldToday #SupplyChain #semiconductor https://t.co/gznYoFkZxG https://t.co/ZcXWonvcRM","['technology', 'IoT', 'SupplyChain', 'semiconductor']"
3,certus_trading,Certus Trading is a trading education company founded and led by Matt Choi.,"Toronto, Ontario","Intel Says It'll Deliver 2025 Chip Tech a Half Year Early 

$INTC $TSMC #Intel18A #semiconductor #supplychain #tech https://t.co/uSeBlZf4Rj https://t.co/T1wxbF3DPL","['Intel18A', 'semiconductor', 'supplychain', 'tech']"
4,DBSchenkerUSA,We work around the clock in over 130 countries worldwide towards one goal: making your logistics even more efficient.,"Chesapeake, VA","Supply chain issues in the semiconductor industry could worsen, experts warn.  @Supplychaindive explores.  #semiconductor #supplychain

https://t.co/u80pUlLfVo","['semiconductor', 'supplychain']"
5,jamesvgingerich,"#ChangeAgent following #DigitalTransformation, #InsurTech. @Expeflow helping IMEs and Insurance firms automate their #Claims workflow to become more productive.","Waterloo, Ontario Canada",Chip industry under threat with neon production set to fall off a cliff following Russia's invasion of #Ukraine. (CNBC) #Technology #SupplyChain #War  https://t.co/eLVwnaHpwN https://t.co/VCgcYvOwoY,"['Ukraine', 'Technology', 'SupplyChain', 'War']"
6,ELMAnalytics,"ELM Analytics helps the #automotive industry identify risk & opportunity, locate new customers & suppliers, collaborate & collect crucial #supplychain data.","Rochester, MI","📬 JUST RELEASED! 
Issue #270 of The Automotive Supply Chain Risk Digest
https://t.co/NVUJzI2gxl
.
.
.
#automotive #supplychain #supplychainmanagement #riskmanagement #autoindustry #autonews #manufacturing #semiconductorshortage #autosupplier #semiconductor #EV #shanghailockdown https://t.co/oD00Lbb9zP","['automotive', 'supplychain', 'supplychainmanagement', 'riskmanagement', 'autoindustry', 'autonews', 'manufacturing', 'semiconductorshortage', 'autosupplier', 'semiconductor', 'EV', 'shanghailockdown']"
7,tensofttech,Tensoft CEO & Co-founder #ERP #supplychain #revrec #fabless #semiconductor #IoT #PowerBI #revenuerecognition #MSDyn365 #Financials #postmodernerp,"Silicon Valley, California",Do you need a scalable #semiconductor management solution that can support your global semiconductor #supplychain? Check out Tensoft SemiOps! https://t.co/CH7QGwatnk https://t.co/noWH1Bj9zJ,"['semiconductor', 'supplychain']"
8,ARSInvestments,ARS operates as a partnership working closely with our clients to identify investment solutions that meet their objectives through all market environments.,"New York, NY","This reshoring of manufacturing capabilities will drive demand for raw materials, technology, labor, and logistics creating attractive opportunities for those positioned accordingly.

https://t.co/J1fr0cCcAx

#ARS #TheOutlook #Semiconductors #SupplyChain","['ARS', 'TheOutlook', 'Semiconductors', 'SupplyChain']"
9,smithweb,"Distributor of #semiconductors and electronic components, and provider of custom #supplychain solutions since 1984. #IntelligentDistribution twitter@nfsmith.com","Worldwide, HQ in Houston, TX","For additional insights, please contact your Smith sales representative, or request a quote here: https://t.co/ywxMKku7AM #IntelligentDistribution #Tech #Semiconductor #MarketByte #SupplyChain #Memory #Samsung #SKhynix https://t.co/WR8GFER1AM","['IntelligentDistribution', 'Tech', 'Semiconductor', 'MarketByte', 'SupplyChain', 'Memory', 'Samsung', 'SKhynix']"
