,username,description,location,text,hashtags
0,Krma4Karma,#ArmyVeteran #Father #Husband #PeaceArtMusicLoveLifeLover #EveryLifeMatter #PeaceMatters #UkraineMatters #Karma will always deliver!,Germany,U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
1,InsuranceTimes_,"The best insurance news, analysis, research & events. Immersed in UKGI, respected by insurers, brokers & service providers, part of Newsquest Specialist Media","London, UK","High energy prices have become a ‘top concern’ for European exporters since the war began

https://t.co/9QjgycySnd

@allianztrade #ukrainerussiawar #supplychain #energy #tradecreditinsurance #confidence https://t.co/4hEqCM2KbS","['ukrainerussiawar', 'supplychain', 'energy', 'tradecreditinsurance', 'confidence']"
2,13farzin,,"Dusseldurf, Germany",U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
3,bekeso10,ji Zana bi pirse ji nezana bi tirse,"North Holland, The Netherlands",U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
4,ide2nesia,Jadilah manusia pembelajar (manusia yang selalu aktif untuk menimba ilmu).,Twitland,"@MiRo_SPD @realmagnussrm Scholz also needs to recognise that elements of the German political class are partly responsible for the current situation, from opposing Ukraine's NATO membership, to preventing the supply of weapons since 2014 to sending billions to Russia. It's too late to look the other way.",[]
5,MikeSmi22199362,,here since 2015,U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
6,smirnoff_sprite,Boycott Fox News advertisers: https://t.co/3c7YtAGe6w,,U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
7,FarrowNews,"Distribute your goods across North American borders with a customs broker/int'l freight forwarder that has been trusted since 1911. 

Peace of mind. Delivered.",,Disruptions to a major raw materials supplier and Russia's invasion of Ukraine may lead to further supply chain issues in the semiconductor industry. https://t.co/cd3yIGzOo8,[]
8,Borg36271416,borgle dorg,,U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
9,Benjerman99,• Go Pats! • Swiftie • FSU '22 • Fordham Law '25 • #BLM #SupportUkraine • Isaiah 54:17 •,he/him,U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
10,speaks_ted,"US Army Veteran, Christian Conservative, Former Police Officer...","San Antonio, TX","Supply chain issues, energy, Russia-Ukraine war, ‘3 drivers’ of inflation: Expert @MorningsMaria @FoxBusiness",[]
11,StevenOverly,"Covering global trade, economics and technology. Now: @POLITICO. Then: @washingtonpost. @Bagehots alum. He/Him. Let’s talk: soverly@politico.com","Washington, D.C.","&gt;@SecYellen warns countries against imposing trade restrictions amid deepening global food insecurity from Russia's war in Ukraine. 

 says ""we know that we must avoid export restrictions that could further increase prices"" as ""price and supply shocks are already materializing""",[]
12,tonttu_torvinen,,,U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
13,Liz_Friden,Fox News Pentagon Producer,"District of Columbia, USA",U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
14,titulitos,"No hagáis mucho caso de lo que diga, que tampoco tengo mucho criterio.",Bani Hayyun,U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
15,SILEN_PHOTO,"Veteran, artist, MFA student. I do arts about life. I follow everyone that likes my stuff. This is not a parody account. I’m for real this incoherent. BLM","Olympia, WA",U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
16,Yi34,"Fan of human dignity, individual rights, democratic process. Journalism by trade, avid jokeslinger. @sciencespo alum, CN/US/FR. Views are my own.",,U.S. military assistance to Ukraine totaling $2.6 billion since Russia's invasion is the largest recent supply to a partner country in a conflict: senior U.S. defense official,[]
