DATE,DATA
15/04/2019,341.42
16/04/2019,339.64
17/04/2019,341.07
18/04/2019,339.23
22/04/2019,339.23
23/04/2019,336.48
24/04/2019,337.95
25/04/2019,335.11
26/04/2019,335.47
29/04/2019,335.06
30/04/2019,333.31
01/05/2019,328.54
02/05/2019,326.69
03/05/2019,327.86
06/05/2019,327.86
07/05/2019,325.96
08/05/2019,323.56
09/05/2019,321.28
10/05/2019,322.81
13/05/2019,318.82
14/05/2019,322.11
15/05/2019,325.14
16/05/2019,326.34
17/05/2019,323.03
20/05/2019,319.3
21/05/2019,318.72
22/05/2019,315.5
23/05/2019,316.29
24/05/2019,318.87
28/05/2019,319.05
29/05/2019,316.15
30/05/2019,314.87
31/05/2019,314.54
03/06/2019,312.6
04/06/2019,314.27
05/06/2019,311.49
06/06/2019,312.47
07/06/2019,310.39
10/06/2019,313.49
11/06/2019,314.85
12/06/2019,314.79
13/06/2019,314.21
14/06/2019,311.52
17/06/2019,311.9
18/06/2019,316.9
19/06/2019,316.21
20/06/2019,317.65
21/06/2019,315.87
24/06/2019,318.22
25/06/2019,322.76
26/06/2019,321.56
27/06/2019,319.77
28/06/2019,320.49
01/07/2019,317.64
02/07/2019,314.88
03/07/2019,315.97
05/07/2019,316.02
08/07/2019,316.34
09/07/2019,316.08
10/07/2019,321.98
11/07/2019,321.57
12/07/2019,321.78
15/07/2019,324.68
16/07/2019,327.15
17/07/2019,327.31
18/07/2019,328.85
19/07/2019,329.37
22/07/2019,324.74
23/07/2019,323.94
24/07/2019,326.83
25/07/2019,326.12
26/07/2019,323.22
29/07/2019,325.72
30/07/2019,322.94
31/07/2019,322.37
01/08/2019,319.97
02/08/2019,314.1
05/08/2019,312.99
06/08/2019,313.19
07/08/2019,311.87
08/08/2019,319.36
09/08/2019,316.44
12/08/2019,316.99
13/08/2019,320.97
14/08/2019,317.9
15/08/2019,318.9
16/08/2019,318.9
19/08/2019,319.37
20/08/2019,316.75
21/08/2019,318.3
22/08/2019,315.2
23/08/2019,314.63
26/08/2019,314.63
27/08/2019,315.84
28/08/2019,315.17
29/08/2019,317.18
30/08/2019,317.54
03/09/2019,315.76
04/09/2019,322.28
05/09/2019,324.51
06/09/2019,325.03
09/09/2019,325.87
10/09/2019,327.96
11/09/2019,326.94
12/09/2019,326.93
13/09/2019,330.91
16/09/2019,326.43
17/09/2019,324.01
18/09/2019,323.54
19/09/2019,324.66
20/09/2019,325.31
23/09/2019,324.23
24/09/2019,321.31
25/09/2019,321.69
26/09/2019,319.21
27/09/2019,319.88
30/09/2019,319.66
01/10/2019,318.64
02/10/2019,316.95
03/10/2019,317.8
04/10/2019,318.22
07/10/2019,321.74
08/10/2019,320.34
09/10/2019,319.56
10/10/2019,324.37
11/10/2019,323.23
14/10/2019,321.1
15/10/2019,321.93
16/10/2019,320.45
17/10/2019,320.77
18/10/2019,322.99
21/10/2019,323.04
22/10/2019,322.95
23/10/2019,325.36
24/10/2019,325.88
25/10/2019,327.27
28/10/2019,327.68
29/10/2019,330.04
30/10/2019,328.84
31/10/2019,324.58
01/11/2019,328.79
04/11/2019,330.71
05/11/2019,330.86
06/11/2019,329.31
07/11/2019,330.84
08/11/2019,328.85
11/11/2019,324.35
12/11/2019,323.39
13/11/2019,320.18
14/11/2019,317.16
15/11/2019,318.11
18/11/2019,315.32
19/11/2019,316
20/11/2019,315.62
21/11/2019,313.85
22/11/2019,315.32
25/11/2019,314.3
26/11/2019,317.1
27/11/2019,317.79
29/11/2019,314.6
02/12/2019,315.5
03/12/2019,310.99
04/12/2019,312.4
05/12/2019,311.54
06/12/2019,315.16
09/12/2019,316.33
10/12/2019,317
11/12/2019,319.89
12/12/2019,321.99
13/12/2019,320.68
16/12/2019,323.17
17/12/2019,321.73
18/12/2019,322.41
19/12/2019,325.54
20/12/2019,325.92
23/12/2019,325.18
24/12/2019,326.51
26/12/2019,326.51
27/12/2019,327.19
30/12/2019,327.53
31/12/2019,324.21
02/01/2020,324.95
03/01/2020,323.62
06/01/2020,324.58
07/01/2020,324.25
08/01/2020,324.91
09/01/2020,325.27
10/01/2020,326.19
13/01/2020,327.42
14/01/2020,328.34
15/01/2020,329.09
16/01/2020,329.24
17/01/2020,328.78
21/01/2020,327.2
22/01/2020,324.46
23/01/2020,319.37
24/01/2020,316.09
27/01/2020,308.5
28/01/2020,306.51
29/01/2020,303.36
30/01/2020,301.56
31/01/2020,301.55
03/02/2020,296.64
04/02/2020,299.08
05/02/2020,304.62
06/02/2020,306.14
07/02/2020,302.11
10/02/2020,300.62
11/02/2020,305.71
12/02/2020,306.36
13/02/2020,308.75
14/02/2020,305.43
18/02/2020,305.42
19/02/2020,305.05
20/02/2020,303.09
21/02/2020,303.47
24/02/2020,299.6
25/02/2020,300.16
26/02/2020,299.32
27/02/2020,296.98
28/02/2020,298.11
02/03/2020,301.75
03/03/2020,300.26
04/03/2020,301.14
05/03/2020,301.2
06/03/2020,297.14
09/03/2020,294.69
10/03/2020,296.12
11/03/2020,293.37
12/03/2020,288.51
13/03/2020,291.7
16/03/2020,286.16
17/03/2020,279.03
18/03/2020,269.73
19/03/2020,269.52
20/03/2020,266.63
23/03/2020,259.38
24/03/2020,263.1
25/03/2020,264.42
26/03/2020,263.76
27/03/2020,264.77
30/03/2020,263.02
31/03/2020,267.86
01/04/2020,261.66
02/04/2020,263.24
03/04/2020,260.72
06/04/2020,261.59
07/04/2020,266.64
08/04/2020,264.87
09/04/2020,266.42
13/04/2020,266.42
14/04/2020,271.91
15/04/2020,270.98
16/04/2020,271.93
17/04/2020,273.78
20/04/2020,273.72
21/04/2020,268.09
22/04/2020,271.38
23/04/2020,271.5
24/04/2020,271.24
27/04/2020,272.43
28/04/2020,273.24
29/04/2020,274.4
30/04/2020,271.54
01/05/2020,268.36
04/05/2020,267.75
05/05/2020,269.11
06/05/2020,271.04
07/05/2020,273.83
