,username,description,location,text,hashtags
0,SeaNoopy,"A gen-Y CIO, investor, dog lover, traveller, couch potato, and Phoenix Suns fan. 日本語が 好きです。한국어 🏳️‍🌈 || BBA/IS, MS in E-Commerce Technology || Atheist","Chicago, IL","TSMC is building a new plant in Arizona for $12bn. This means supply chain localisation for the US, away from politically unstable Asia. But Taiwan could lose in the long run as specialist talent flees abroad, possibly taking advanced chip knowledge with them to US competitors.",[]
1,SmartTaipei,"TSMC, Semiconductor, SmartCity, eMobility and Renewables news from Taipei 台北智能城市 @smartecocity. RTs (EN/中文) ≠ endorsement for #TheMostDangerousPlaceOnEarth😁",Taipei,"TSMC is building a new plant in Arizona for $12bn. This means supply chain localisation for the US, away from politically unstable Asia. But Taiwan could lose in the long run as specialist talent flees abroad, possibly taking advanced chip knowledge with them to US competitors.",[]
2,Jiten95,"Strategy consultant @PA_Consulting exploring economics, innovation, strategy, competition and growth https://t.co/QZ3Afdwybf. Views are my own.",London,"TSMC is building a new plant in Arizona for $12bn. This means supply chain localisation for the US, away from politically unstable Asia. But Taiwan could lose in the long run as specialist talent flees abroad, possibly taking advanced chip knowledge with them to US competitors.",[]
3,SmartTaipei,"TSMC, Semiconductor, SmartCity, eMobility and Renewables news from Taipei 台北智能城市 @smartecocity. RTs (EN/中文) ≠ endorsement for #TheMostDangerousPlaceOnEarth😁",Taipei,"@JoshuaSteinman Joshua. The thing China want the most is the completely mature semi-conductor supply chain, the organic growth and its technological advancement. TSMC is just the crown jewel of the big picture. So, the stake is huge. Check this link and the map below.
https://t.co/mrxQwRWvHI https://t.co/8iLP2WfBpe",[]
4,Zeega333,गरुड,,"@JoshuaSteinman Joshua. The thing China want the most is the completely mature semi-conductor supply chain, the organic growth and its technological advancement. TSMC is just the crown jewel of the big picture. So, the stake is huge. Check this link and the map below.
https://t.co/mrxQwRWvHI https://t.co/8iLP2WfBpe",[]
5,SmartTaipei,"TSMC, Semiconductor, SmartCity, eMobility and Renewables news from Taipei 台北智能城市 @smartecocity. RTs (EN/中文) ≠ endorsement for #TheMostDangerousPlaceOnEarth😁",Taipei,"Just Pay attention to the TSMCs Supply chain, If they able to supply the core in  May then 1st product release is possible in June! And if it got delayed to the June then the launch will also be affected and gets delayed by another month! 
All depends upon TSMC and Qualcomm 🙃",[]
6,That_Kartikey,"19 y/o  • Love Tech   •#Xiaomi Stuffs 
👉I Do What I Want👈 •VERY STUBBORN GUY 😌","Varanasi, India","Just Pay attention to the TSMCs Supply chain, If they able to supply the core in  May then 1st product release is possible in June! And if it got delayed to the June then the launch will also be affected and gets delayed by another month! 
All depends upon TSMC and Qualcomm 🙃",[]
7,SmartTaipei,"TSMC, Semiconductor, SmartCity, eMobility and Renewables news from Taipei 台北智能城市 @smartecocity. RTs (EN/中文) ≠ endorsement for #TheMostDangerousPlaceOnEarth😁",Taipei,"TSMC's position in cutting edge tech in nearly unparalleled. Adds to Taiwan's weight in global tech supply chain. 
#SemiconEcon https://t.co/ysmhQSsQNn",['SemiconEcon']
8,MBansi,"Economist with an eye on tech sector and federal public finances
Philosophy: Economics discipline as a tool for decision making
PG Wodehouse (re)reader",Bangalore/Bombay,"TSMC's position in cutting edge tech in nearly unparalleled. Adds to Taiwan's weight in global tech supply chain. 
#SemiconEcon https://t.co/ysmhQSsQNn",['SemiconEcon']
9,SmartTaipei,"TSMC, Semiconductor, SmartCity, eMobility and Renewables news from Taipei 台北智能城市 @smartecocity. RTs (EN/中文) ≠ endorsement for #TheMostDangerousPlaceOnEarth😁",Taipei,TSMC expects manufacturers to stock up more than usual on chips and other components after recent events disrupted the global supply chain https://t.co/noc51jauQ0 via @WSJ,[]
