,username,description,location,text,hashtags
0,Aka_Ravi,I don’t take twitter seriously. It is symbolic of everything great that failed due to flaws in human nature.,Bharat ,"Convergence exists in domains where the US intends to contain China. India lacks literature on the US’ dependence on China, the consequent limits of containment, and how it shapes Indo-US ties. Perhaps it’d worth exploring given your position as a strong Indian voice in Taiwan? https://t.co/m5G44kMDq2",[]
1,CWragg5,,,"Beijing’s ‘Global Times’, which usually says what Xi Jinping is thinking, predicts that China will invade Taiwan: it will ‘demonstrate its sovereignty over Taiwan through military means and eliminate the erosion of authority caused by collusion between the US and Taiwan.’",[]
2,BeehiveChina,Whimsical perspectives from a happy life in China - a man from the Black Country; a Midlander to the Middle Kingdom 中国 Zhōngguó - Out of Darkness Cometh Light!,China,"#Taiwan. Long hijacked by the #CIA NED, etc. Nothing good will come of this. Pity the good people of the #Chinese province of Taiwan. (Taiwan will remain part of #China) Period. https://t.co/7dqO7vBZP9","['Taiwan', 'CIA', 'Chinese']"
3,laura_zuki,"mexican american, loves movies, books and great television shows. Enjoy playing raquetball with my sister and doing yoga",,"The Ukrainian government has been cautious in its diplomacy with China, allowing Western partners to do the criticizing instead. https://t.co/1tLXHKSAiI",[]
4,PKewes,"Prof of English, U of Oxford; Tutor and Fellow chez Jesus; Senior Member, Oxford U Polish Society; Leverhulme Trust MRF, 2021-24. #Twitterstorians",Oxford,"Beijing’s ‘Global Times’, which usually says what Xi Jinping is thinking, predicts that China will invade Taiwan: it will ‘demonstrate its sovereignty over Taiwan through military means and eliminate the erosion of authority caused by collusion between the US and Taiwan.’",[]
5,ekstromfortexas,#AmericaFirst Courageous Conservative for #MAGA! Unapologetically Rightwing! #SSPX Catholic 🇺🇸👌🇺🇸,Texas,"Opinion💭by Antonio Graceffo

A bipartisan group of US lawmakers met with #Taiwan President Tsai Ing-Wen on April 15, a move #China called “deliberately provocative.”

Despite angering #Beijing, US support for #Taipei is undeterred by #CCP threats. https://t.co/4WhZLfMLw2",['Taiwan']
6,ladykerilynn,,,"Opinion💭by Antonio Graceffo

A bipartisan group of US lawmakers met with #Taiwan President Tsai Ing-Wen on April 15, a move #China called “deliberately provocative.”

Despite angering #Beijing, US support for #Taipei is undeterred by #CCP threats. https://t.co/4WhZLfMLw2",['Taiwan']
7,jfischoff,@CanonicalLLC,"San Diego, CA","The coming collapse of imports from China is in some ways a test of who needs who more. 

If the economic pain is bad enough, the threats could reverse direction.

In the future it could be China threatening to cut us off if we interfere in Taiwan and not the reverse.",[]
8,russglos,"This profile is currently unavailable: MD ANT.
#JohnsonOut",gloucester,"Beijing’s ‘Global Times’, which usually says what Xi Jinping is thinking, predicts that China will invade Taiwan: it will ‘demonstrate its sovereignty over Taiwan through military means and eliminate the erosion of authority caused by collusion between the US and Taiwan.’",[]
9,Dardanoi25,Serbs are barbarians who have brought nothing but misery and death since they invaded and stole Illyrian territory.,,If china had UAP tech Taiwan wouldn't exist as the independent sovereign country that it currently is. https://t.co/B1ZlqY1Qg5,[]
10,oneninefive2,Less is more,,"Seeing how Germany fails to force Russia to end its war crimes in Ukraine, just imagine what would Germany do if China attacks Taiwan.

Big pile of nothing.

As always: excuses, words, announcing some finance decision which will have zero impact in upcoming weeks and months.",[]
11,ajaymehta02,Cancer Physician helping those in distress rightfully,"New Delhi, India","The way Chinese govt is beating, starving and locking it's people in indefinite lockdown and astrology shows much worse covid situation in China in June - July...

Chinese Govt may very well launch attack on Taiwan and minor scuffles with India to distract their population!",[]
12,Iroper,,Nowhere near Russia,"Beijing’s ‘Global Times’, which usually says what Xi Jinping is thinking, predicts that China will invade Taiwan: it will ‘demonstrate its sovereignty over Taiwan through military means and eliminate the erosion of authority caused by collusion between the US and Taiwan.’",[]
13,gunner964,"Do not fear death.  Only the unlived life.  You don't have to live forever.  You just have to live.
SIC SEMPER TYRANNIS.",Northern Ireland,"This article written last year about goading China into a 'small war' over Taiwan is exactly the playbook we are now seeing with 🇷🇺/🇺🇦.

It's 🇨🇳 biased but so accurately discribes 🇺🇸 currently its worth a read. https://t.co/M7wNcOsWAJ",[]
14,KawasakiEtsumi,"エペ, ボルテ, 弍寺, 女装, ウマ娘, 彼氏待ち",台灣,"@pugjakelmao @jaegerbarioth @TheFanWithouta1 @UfgtCreature @InfoGirl17 @SoulKingLives So are you saying people in Vietnam, Malaysia, Singapore, China, Taiwan, Indonesia, Japan and Philippine doesn’t exist?",[]
15,CITE89151110,"At the Center for Interpreting Translation & Education (CITE), we offer tutoring, Interpreting and translation focusing on African and Asian languages.","Somerville, MA (USA)","@RealDeniseWelch The number of dead people from Covid-19 in the failed systems of both the USA &amp; UK alone is more than 1,171,000 million! https://t.co/5jtPWyeGN5
Forward only videos with clear story &amp; reasons. Western governments are busy creating a far worse problem for China: Taiwan @news_wafaa",[]
16,BengalD72661479,Proud Bengali Hindu| Socialist with Dharmic characteristics | Alive | Keen interest in International relations and Strategic studies|,"Pune, India",@pplsartofwar As a Chinese do you think that there is a mild possibility of Taiwan-china war in next few years?,[]
17,ZIGGYWOLF3,,,@ahmcguffin @oleksiireznikov @Pabriks I believe the US isn't going into Ukraine in case things get worse with China. Send like the US will defend Taiwan more than Ukraine. I don't agree with that but things with China are getting way worse. Maybe we're worried about war with China.,[]
18,OlivierGuitta,"Ranked in the Top 250 #Terrorism Experts,Top 500 National Security. Managing Director of GlobalStrat, a Geopolitical Risk Consulting Firm.
Columnist @akhbar",London,The war in #Ukraine is reviving concerns in #Taiwan about the fragility of their internet connections because they rely on undersea cables that could be severed if #China were to attack. Taiwan receives &amp; sends 95% of its data-and-voice traffic via undersea cables.,"['Ukraine', 'Taiwan', 'China']"
19,IssuesOfChina,"🇺🇸Congress has 535 voting members: 100 senators; 435 representatives. If any lawmaker discusses issues related to 🇹🇼 OR 🇨🇳 , you will see them right here.",United States,"https://t.co/Lo1dL7KBRB

I agree, @GOPLeader.

Saying we stand with Taiwan isn’t enough—we need to give Taiwan the tools they need to counter Communist China’s aggression. https://t.co/LLt2AzGNso",[]
20,All435Reps,Collecting and retweeting tweets by all members of the US House of Representatives. Archived at: https://t.co/pr8ZcQwGNu,,"I agree, @GOPLeader.

Saying we stand with Taiwan isn’t enough—we need to give Taiwan the tools they need to counter Communist China’s aggression. https://t.co/803Cp5y6X9",[]
21,RepAshleyHinson,"Proud mom and wife. Representing IA-01 in Congress and bringing a dose of Iowa common sense to Washington.

FB: https://t.co/ovQqAUsFrY","Washington, DC","I agree, @GOPLeader.

Saying we stand with Taiwan isn’t enough—we need to give Taiwan the tools they need to counter Communist China’s aggression. https://t.co/803Cp5y6X9",[]
22,mansh21,,Faversham,"Beijing’s ‘Global Times’, which usually says what Xi Jinping is thinking, predicts that China will invade Taiwan: it will ‘demonstrate its sovereignty over Taiwan through military means and eliminate the erosion of authority caused by collusion between the US and Taiwan.’",[]
23,Pajarazzi02GC,,,"Washington is stirring tensions for political and strategic gain through weapons sales to Taiwan and talk of a visit to the island by high-ranking politicians, South China Morning Post reports #ChinainWorldPress https://t.co/JpcEnVjnxK",[]
24,cn_nazi,"Communists are THE BEAST.  Maloch.  They sacrifice children at the alter of the border, courtroom, and edge of needles
a dangerous cult having murdered 100 M.",,"China has built a new long-range, early-warning radar that can be used to detect ballistic missiles from thousands of miles away, likely giving it coverage of Japan, Korea, Taiwan...

https://t.co/kO8QCXtbPV",[]
25,myron56400495,Russia is aggressor,,"#China will continue to increase strategic coordination with #Russia no matter what. Friendship with benefits boosts trade &amp; is obviously ""unlimited cooperation"" 2.0. But #Taiwan will continue to do the right thing &amp; #StandWithUkraine🇺🇦. JW https://t.co/vnWa8vePzE","['China', 'Russia']"
26,JonHartleyInBSE,"Socialist, Labour party member, retired TU organiser, atheist, Pompey supporter (and former owner). All my own views; who else would want them? Also @MuoveSi","Bury St Edmunds, UK","Beijing’s ‘Global Times’, which usually says what Xi Jinping is thinking, predicts that China will invade Taiwan: it will ‘demonstrate its sovereignty over Taiwan through military means and eliminate the erosion of authority caused by collusion between the US and Taiwan.’",[]
