,username,description,location,text,hashtags
0,zubair_aatim,Zubair Ahmad student of BBA,,"“If a real intervention took place in Syria.... we wouldn’t be speaking about this war in Ukraine”

At a forum on the Russia-Ukraine conflict, Türkiye’s Communications Director Fahrettin Altun says if the world had acted in Syria, there would be no Ukraine war https://t.co/yDnzfhi4MO",[]
1,Dans9180,,,Silence also kills. Those who decide not to speak up in russia... just accept russia's war against Ukraine #UkraineRussiaWar https://t.co/RVZf9zjXZt,[]
2,OsintCasual,,,"Nuke Ukraine?🧵
For many who wish to ban nuclear weapons, the war in Ukraine stresses nuclear danger. They've an incoherent understanding of nuclear control, war escalation control and termination, both for Russia and US/NATO, and political objectives of nuclear employment./1",[]
3,CrowdVectors,,,"In Ukraine, 1 Million Children Leave behind Lives, Friends See More Here &gt; https://t.co/SQ2BCXmIxo #puttin #russia #ukraine #war # #Kyiv #mariupolattack","['puttin', 'russia', 'ukraine', 'war', 'Kyiv', 'mariupolattack']"
4,javierrrock,,a las afueras de la Capital,"“Official statements denying Ukraine and Ukrainians the right to exist, and mounting evidence of deliberate, large-scale targeting of Ukrainian civilians, leaves little room for doubt. The threshold from war crimes to genocide has been crossed.”
 https://t.co/zVhtYUAzpS",[]
5,keithan_scott,No matter what you have to keep moving 🏃🏾‍♂️ …… Don’t let life Defeat you 🤷🏾‍♂️,,"Greek authorities have seized a Russian-owned oil tanker in the Aegean Sea. The seizure did not relate to the cargo of crude oil but to the ship itself, which belongs to a Russian bank on the EU sanctions list, a spokesman for the Greek coast guard said. https://t.co/91NrF2fzBV",[]
6,8102ops,Investigations-Law-Law Enforcement-Military-Archaeology-History-Space-Politics-MartialArts-Fishing-FM Bowhunter-Horses - Be Balanced ⚖️ “NO LISTS or TRAINS”,🛩🚁🛥,"There’s a grim mathematical problem popular in cyberspace: In American rendering, the sum of every two digits of the starting dates of World War I (07/28/1914)
World War II (09/01/1939) 
Russia-Ukraine conflict (02/24/2022) are the same:",[]
7,AktarCengiz,,,"Good piece by @mattsteinglass. ""The scale of Soviet &amp; Chinese supplies of heavy weaponry to the North Vietnamese dwarfs anything imaginable in Ukraine...Soviet trainers often pressed the buttons on anti-aircraft missile[s] that shot down American fighters"" https://t.co/dsWMboalrx",[]
8,G_Old_M,SocialJustice Finding a Solution to any Challenge that’s la kin to utopian socialism !,Somewhere within the UK ,"Putin bears responsibility for 'war crimes' in Ukraine, German chancellor says @Bundeskanzler but Germany is responsible for the #bloodmoney for taking oil gas coal from Russia fuelling the WAR in Ukraine @OlafScholz  #boycott #Germany","['bloodmoney', 'boycott', 'Germany']"
9,Kr80042802,,,"A Russian artillery strike in eastern Kharkiv killed at least three people on Tuesday, the latest in a series of attacks that have killed multiple Ukrainian civilians. https://t.co/x9eGI0HZiK",[]
10,DetailsYemen,"A Yemeni news outlet
https://t.co/F2Poe72GSS",,"A #Russia-flagged crude oil tanker has been seized in #Greece under EU #sanctions linked to the war in #Ukraine, a coastguard spokeswoman announces.
https://t.co/Di1ZG3bWCy","['Russia', 'Greece', 'sanctions', 'Ukraine']"
11,MorteHoeDevon,Yank married to Brit (Lord & Lady Muck-Muck). Now a Widow as of 7/2021. I sigh a lot. Voting Blue - since 1972. #IStandWithUkraine,Coastal Va,"Malcolm Nance, a former U.S. naval intelligence officer and longtime MSNBC analyst, has joined Ukrainian forces fighting Russia. 

“The more I saw of the war going on, the more I thought, I’m done talking, all right? It’s time to take action here."" https://t.co/IFpT73AwmT",[]
12,airani_13111978,Female,,"⚡️UN: Six million Ukrainians have limited access to drinking water. 

UNICEF Ukraine said on April 18 that Russia’s war has “devastated water and electricity networks” in Ukraine, leaving an additional 4.6 million people with limited access to water.",[]
13,D_P_Orman,"Bearded chap whose likes, dislikes and opinions occasionally coincide with others'.",United Kingdom,"@RussianEmbassy @RusembUkraine @mfa_russia @BBCWorld @SkyNews @GBNEWS @FinancialTimes @guardian @Telegraph @TheEconomist @Daily_Express It's ""rose"", not ""rode"" (""rose"" is past tense of ""ride"").
Not sure your understanding of the reasons people object to your genocidal war on Ukraine is any more accurate than that of your knowledge of the English language, to be honest.",[]
14,Memharit,The Tutor,"London, England",".@WHO unequivocally condemns the continued increase in attacks on health care in #Ukraine. They must stop. To date, WHO has verified 147 attacks, including 73 people killed, and 53 injured. War will not be a solution. Once again, I call on Russia to end the war.",['Ukraine']
15,Thomus_More,"Journalist, lawyer, and philosopher until 1535 when dispatched by Henry VIII for refusing to accept Henry as head of the Church.",Residence: Tower of London,"#FakePriest Rrussian, PriestPatriarch Kirill: Putin ally faces backlash after ‘blessing’ war | Russia-Ukraine war News | Al Jazeera https://t.co/Bx4sHUSSTA via @AJEnglish",['FakePriest']
16,GaryJoh35372924,"Visualize , center & transform a pure energy flow , then blast it into the void . OK , I might also have my fair share of character flaws ?",Chillin out at the beach ,"Greek authorities have seized a Russian-owned oil tanker in the Aegean Sea. The seizure did not relate to the cargo of crude oil but to the ship itself, which belongs to a Russian bank on the EU sanctions list, a spokesman for the Greek coast guard said. https://t.co/91NrF2fzBV",[]
17,ShahriyarGourgi,"Analysis, assessment, and recommendations regarding the regions",Norway,NATO Plays Cyberwar to Prep for a Real Russian Attack https://t.co/JfAjp5VxXw https://t.co/z5J9PuvJ7E,[]
18,KubikBozena,"Polka, konserwatystka,  tylko prawa strona",,"The Poles never received the return of these items to Germany and no war reparations were paid to the Poles. The same will happen with Ukraine, the elite of the west - France, Germany, the Netherlands, Austria will fearfully tell - Putin and Russia are entitled to spoils of war. https://t.co/xpyT0WDGMf",[]
19,ArcheanKyawLinn,"I am the master of my fate. 
I am the captain of my soul.",Myanmar,"U.S. messaging on India’s position on the conflict has hardened in recent weeks, from grudging acceptance of India’s stance to calling on New Delhi to “evolve” its position and warning of possible consequences if it keeps trading with Moscow.
https://t.co/CHBI802bHg",[]
20,BISouthAfrica,"Fast, fair, fearless and fun South African business news. 🇿🇦",South Africa,IMF slashes 2022 global growth forecast as Russia-Ukraine war inflicts significant economic damage https://t.co/YXSTyRb2EC https://t.co/KINiuWHjNA,[]
21,QuincyInst,The Quincy Institute for Responsible Statecraft works to build a world where peace is the norm and war is the exception. News & analysis @RStatecraft,"Washington, DC","yes yes i'm a restraint flack BUT this @cspanwj interview is worth your time.

very substantive conversation about how the US should balance our desire to aid Ukraine's righteous resistance to Russia's war of aggression with the real, significant risks posed by further escalation https://t.co/xrs7zmeJP8",[]
